age_v,income_v,employment_length_v,loan_amount_v,loan_interest_rate_v,loan_percent_income_v,credit_history_length_v,age_a,income_a,employment_length_a,loan_amount_a,loan_interest_rate_a,loan_percent_income_a,credit_history_length_a,y,loan_intent,home_ownership,default_on_file,id
21,35000,5.0,13650,7.51,0.39,4,-0.041,0.03,-0.054,0.009,-0.053,0.242,-0.007,0.335,DEBTCONSOLIDATION,MORTGAGE,N,2588
22,18996,3.0,3200,15.28,0.17,3,-0.018,0.536,-0.028,-0.028,0.096,0.205,0.002,0.975,EDUCATION,RENT,Y,2589
23,20000,1.0,3200,7.14,0.16,4,-0.004,-0.006,0.008,-0.032,-0.094,-0.047,0.0,0.036,PERSONAL,RENT,N,2590
23,20000,0.0,3200,16.0,0.16,2,0.011,-0.032,0.07,-0.019,0.441,-0.032,-0.006,0.642,VENTURE,RENT,N,2591
23,20800,4.0,3200,14.84,0.15,2,-0.001,-0.047,-0.06,-0.018,0.254,-0.013,0.023,0.348,EDUCATION,RENT,N,2592
23,22000,2.0,3200,12.69,0.15,4,-0.008,0.019,-0.002,-0.028,-0.027,-0.066,-0.002,0.096,MEDICAL,RENT,N,2593
25,23040,0.0,3200,14.79,0.14,2,0.006,0.051,0.057,-0.057,0.284,-0.079,0.006,0.478,DEBTCONSOLIDATION,RENT,N,2594
24,35000,2.0,8000,11.86,0.23,3,-0.004,-0.034,0.003,-0.031,-0.017,-0.061,-0.007,0.059,EDUCATION,MORTGAGE,N,2595
21,24000,3.0,3200,13.57,0.13,4,0.004,0.032,-0.02,-0.045,-0.023,-0.072,-0.001,0.083,DEBTCONSOLIDATION,RENT,N,2596
26,35000,10.0,6000,7.51,0.17,4,0.013,-0.03,0.019,-0.048,-0.045,-0.046,-0.008,0.064,VENTURE,MORTGAGE,N,2597
24,25000,6.0,3200,13.11,0.13,4,0.036,0.113,0.004,-0.053,0.088,-0.034,-0.001,0.362,DEBTCONSOLIDATION,RENT,N,2598
25,27600,2.0,3200,12.21,0.12,2,0.006,0.036,-0.011,-0.061,-0.026,-0.069,-0.013,0.071,VENTURE,RENT,N,2599
22,28000,3.0,3200,10.59,0.11,2,-0.002,0.032,-0.021,-0.034,-0.061,-0.066,-0.012,0.046,EDUCATION,RENT,N,2600
25,30000,0.0,3200,13.99,0.11,2,-0.002,0.159,0.059,-0.052,0.237,-0.032,-0.001,0.578,MEDICAL,RENT,N,2601
21,30000,3.0,3200,11.14,0.11,3,0.017,0.129,-0.021,-0.053,-0.035,-0.064,-0.0,0.183,MEDICAL,RENT,N,2602
25,30000,2.0,3200,8.0,0.11,4,0.001,0.087,-0.009,-0.033,-0.117,-0.067,-0.003,0.07,MEDICAL,RENT,N,2603
23,31000,3.0,3200,11.49,0.1,4,0.007,0.148,-0.03,-0.061,0.007,-0.049,-0.025,0.208,EDUCATION,RENT,N,2604
23,31200,0.0,3200,13.49,0.1,4,0.002,0.118,0.013,-0.073,-0.002,-0.055,-0.004,0.21,EDUCATION,RENT,Y,2605
22,31200,1.0,3200,11.99,0.1,2,0.006,0.143,-0.002,-0.08,-0.01,-0.046,-0.006,0.215,VENTURE,RENT,N,2606
22,32000,0.0,3200,10.2,0.1,3,0.007,0.117,-0.011,-0.045,-0.064,-0.05,-0.001,0.163,PERSONAL,RENT,N,2607
25,33000,9.0,3200,5.42,0.1,4,0.009,0.073,0.019,-0.055,-0.186,-0.035,0.002,0.035,MEDICAL,RENT,N,2608
25,29004,0.0,3200,17.49,0.11,2,0.008,0.261,0.082,-0.024,0.466,-0.035,-0.015,0.953,HOMEIMPROVEMENT,RENT,Y,2609
26,35000,1.0,3000,6.76,0.09,3,0.016,-0.006,0.005,-0.062,-0.064,-0.021,-0.017,0.059,VENTURE,MORTGAGE,N,2610
21,31000,5.0,3200,10.37,0.1,3,0.075,0.223,0.006,-0.064,0.014,-0.043,0.031,0.453,DEBTCONSOLIDATION,RENT,N,2611
22,37440,1.0,3200,13.04,0.09,2,-0.002,0.017,0.008,-0.095,0.003,-0.04,0.002,0.103,EDUCATION,RENT,Y,2612
26,38400,7.0,3200,13.49,0.08,2,0.011,-0.038,-0.004,-0.091,0.009,-0.005,-0.007,0.084,PERSONAL,RENT,N,2613
24,41745,2.0,3200,9.63,0.08,3,0.018,0.019,-0.011,-0.077,-0.053,0.004,0.002,0.113,PERSONAL,RENT,N,2614
22,42500,7.0,3200,7.49,0.08,4,0.01,-0.004,-0.001,-0.082,-0.086,-0.006,0.0,0.042,EDUCATION,RENT,N,2615
26,43200,5.0,3200,14.35,0.07,4,0.001,-0.039,-0.012,-0.119,0.014,0.006,0.002,0.062,EDUCATION,RENT,Y,2616
24,44000,1.0,3200,8.0,0.07,2,0.013,0.186,-0.021,-0.07,-0.101,0.003,-0.012,0.208,MEDICAL,RENT,N,2617
21,45000,3.0,3200,6.54,0.07,4,0.003,-0.025,-0.006,-0.067,-0.069,-0.033,0.0,0.013,PERSONAL,RENT,N,2618
22,35000,6.0,7500,13.92,0.21,3,0.01,-0.037,-0.013,-0.009,0.005,-0.07,-0.0,0.096,EDUCATION,MORTGAGE,N,2619
23,45240,4.0,3200,7.37,0.07,3,0.003,-0.028,-0.007,-0.054,-0.087,-0.022,0.001,0.017,VENTURE,RENT,N,2620
26,29000,1.0,11200,11.14,0.39,4,0.019,0.329,0.035,0.04,-0.04,0.277,-0.004,0.867,HOMEIMPROVEMENT,MORTGAGE,N,2621
25,42000,3.0,3200,15.7,0.08,2,0.021,0.017,-0.008,-0.034,0.401,0.02,0.003,0.63,MEDICAL,RENT,Y,2622
23,49200,4.0,3200,13.48,0.07,3,-0.002,0.151,-0.023,-0.11,0.02,-0.007,0.002,0.242,MEDICAL,RENT,Y,2623
22,50000,1.0,3200,8.49,0.06,4,0.007,-0.077,0.002,-0.059,-0.059,-0.006,-0.001,0.017,VENTURE,RENT,N,2624
22,51000,2.0,3200,10.99,0.06,2,-0.0,0.006,0.007,-0.078,-0.038,0.003,0.002,0.111,EDUCATION,RENT,N,2625
23,35000,6.0,8400,12.18,0.24,3,0.004,-0.021,-0.012,-0.005,-0.002,-0.095,-0.001,0.079,EDUCATION,MORTGAGE,N,2626
24,54731,2.0,3200,11.83,0.06,2,-0.003,0.072,0.007,-0.123,-0.032,-0.014,0.0,0.118,DEBTCONSOLIDATION,RENT,N,2627
23,35000,7.0,15000,18.43,0.43,2,-0.013,0.004,-0.021,0.144,0.251,0.196,-0.04,0.73,EDUCATION,MORTGAGE,Y,2628
23,35000,0.0,12800,11.83,0.37,2,0.022,0.059,0.055,0.045,-0.015,0.311,-0.017,0.67,PERSONAL,OTHER,N,2629
26,55000,1.0,3200,8.49,0.06,3,0.005,-0.064,0.003,-0.05,-0.073,-0.007,0.0,0.023,EDUCATION,RENT,N,2630
22,35000,6.0,3500,11.48,0.1,4,0.018,0.013,-0.006,-0.071,-0.005,-0.034,-0.004,0.122,EDUCATION,MORTGAGE,N,2631
24,58000,2.0,3200,14.35,0.06,2,0.024,-0.004,0.003,-0.123,0.016,0.001,0.003,0.129,VENTURE,RENT,N,2632
22,60000,6.0,3200,11.71,0.05,2,-0.002,-0.102,-0.011,-0.055,-0.021,-0.005,-0.004,0.011,MEDICAL,RENT,N,2633
22,54000,5.0,3200,16.49,0.06,4,-0.04,0.126,-0.088,-0.091,0.367,-0.015,-0.002,0.467,HOMEIMPROVEMENT,RENT,Y,2634
24,60000,3.0,3200,7.14,0.05,3,0.005,-0.072,-0.006,-0.03,-0.079,-0.023,-0.0,0.004,DEBTCONSOLIDATION,RENT,N,2635
26,61200,9.0,3200,9.91,0.05,2,0.006,-0.04,0.014,-0.087,-0.043,-0.004,-0.002,0.055,PERSONAL,RENT,N,2636
26,35000,1.0,5000,14.42,0.14,2,0.011,-0.139,0.089,-0.032,0.351,-0.045,0.006,0.451,EDUCATION,MORTGAGE,Y,2637
26,65000,5.0,3200,11.71,0.05,3,0.008,-0.124,-0.011,-0.058,-0.012,-0.003,0.001,0.01,DEBTCONSOLIDATION,RENT,N,2638
24,35000,3.0,13000,14.74,0.37,3,0.033,-0.029,-0.009,0.056,0.135,0.24,-0.013,0.621,PERSONAL,MORTGAGE,N,2639
24,59000,8.0,3200,13.8,0.05,3,0.038,0.252,0.028,-0.099,0.069,0.02,0.001,0.519,MEDICAL,RENT,N,2640
24,65004,0.0,3200,9.99,0.05,4,0.012,-0.06,0.002,-0.054,-0.06,-0.024,-0.002,0.025,HOMEIMPROVEMENT,RENT,N,2641
24,72000,8.0,3200,13.92,0.04,3,0.01,-0.09,-0.009,-0.085,0.01,0.019,0.0,0.063,PERSONAL,RENT,N,2642
22,75000,6.0,3200,10.28,0.04,4,0.004,-0.098,-0.001,-0.077,0.002,0.018,-0.001,0.057,EDUCATION,RENT,N,2643
24,35000,1.0,3500,16.0,0.1,3,0.006,-0.111,0.095,-0.055,0.388,-0.039,-0.036,0.458,VENTURE,OWN,N,2644
26,35000,1.0,6000,12.21,0.17,4,0.008,-0.029,0.007,-0.043,-0.007,-0.049,-0.013,0.084,PERSONAL,MORTGAGE,N,2645
25,78000,5.0,3200,12.99,0.04,4,0.025,0.043,-0.055,-0.108,0.039,0.052,0.012,0.217,HOMEIMPROVEMENT,RENT,Y,2646
24,83000,3.0,3200,6.99,0.04,3,0.014,-0.011,0.001,-0.039,-0.165,0.008,0.011,0.03,HOMEIMPROVEMENT,RENT,N,2647
23,78000,3.0,3200,10.99,0.04,3,0.004,0.036,-0.003,-0.073,-0.013,0.06,0.018,0.239,EDUCATION,RENT,N,2648
21,85000,5.0,3200,10.25,0.04,4,-0.005,-0.14,-0.012,-0.048,-0.011,0.015,-0.0,0.008,PERSONAL,RENT,N,2649
25,78000,2.0,3200,14.59,0.04,3,0.026,0.094,0.089,-0.047,0.474,0.091,0.017,0.954,HOMEIMPROVEMENT,RENT,Y,2650
21,35000,1.0,4950,7.68,0.14,4,0.004,-0.005,0.002,-0.047,-0.092,-0.049,-0.007,0.016,MEDICAL,MORTGAGE,N,2651
22,29000,0.0,7500,10.08,0.26,4,0.025,0.3,0.015,0.022,-0.082,-0.057,-0.004,0.428,DEBTCONSOLIDATION,OTHER,N,2652
22,35000,6.0,7500,11.34,0.21,2,0.012,-0.012,-0.01,-0.021,-0.015,-0.06,-0.001,0.102,PERSONAL,MORTGAGE,Y,2653
21,12000,2.0,3250,9.99,0.27,2,-0.012,0.656,-0.008,-0.015,-0.028,0.188,0.006,0.997,HOMEIMPROVEMENT,RENT,N,2654
21,35000,2.0,800,7.37,0.02,3,0.0,-0.009,-0.003,-0.065,-0.096,-0.012,-0.009,0.016,VENTURE,MORTGAGE,N,2655
22,14400,6.0,3250,16.29,0.23,4,-0.007,0.487,-0.021,-0.008,0.218,0.116,0.0,0.996,PERSONAL,RENT,N,2656
24,16000,0.0,3250,12.42,0.2,4,-0.002,0.61,0.008,-0.02,-0.009,0.203,-0.001,0.997,VENTURE,RENT,N,2657
22,17004,5.0,3250,6.91,0.19,2,-0.015,0.641,-0.006,-0.016,-0.04,0.214,0.007,0.994,DEBTCONSOLIDATION,RENT,N,2658
23,18000,1.0,3250,13.22,0.18,2,-0.014,0.626,0.016,-0.024,0.011,0.17,0.001,0.996,VENTURE,RENT,N,2659
25,35000,1.0,5400,12.17,0.15,4,0.005,-0.018,0.002,-0.047,-0.011,-0.069,-0.012,0.06,HOMEIMPROVEMENT,MORTGAGE,N,2660
22,35004,3.0,3000,7.9,0.09,4,0.004,0.029,-0.019,-0.061,-0.052,-0.031,-0.003,0.076,VENTURE,OWN,N,2661
22,20400,5.0,3250,14.26,0.16,2,-0.0,-0.017,-0.02,-0.039,0.039,-0.024,0.002,0.151,MEDICAL,RENT,Y,2662
24,25000,3.0,3250,13.67,0.13,4,0.004,0.02,-0.016,-0.046,-0.024,-0.078,-0.001,0.07,EDUCATION,RENT,N,2663
22,35004,1.0,9000,10.0,0.26,2,-0.003,0.003,0.005,0.009,-0.062,-0.082,-0.003,0.076,VENTURE,OWN,N,2664
26,28000,2.0,3250,14.59,0.12,4,0.018,0.145,0.101,-0.064,0.467,-0.044,-0.003,0.83,HOMEIMPROVEMENT,RENT,N,2665
24,35004,5.0,7000,5.42,0.2,3,0.001,-0.007,-0.012,-0.003,-0.125,-0.05,-0.001,0.013,EDUCATION,MORTGAGE,N,2666
21,35004,5.0,1500,9.62,0.04,2,0.016,0.013,-0.012,-0.117,-0.042,0.019,-0.016,0.07,VENTURE,OWN,N,2667
25,30000,0.0,3250,5.42,0.11,3,0.003,0.059,0.007,-0.037,-0.181,-0.046,-0.003,0.011,DEBTCONSOLIDATION,RENT,N,2668
22,35000,0.0,3250,6.54,0.09,3,0.006,0.005,0.009,-0.087,-0.063,-0.014,-0.012,0.053,EDUCATION,RENT,N,2669
24,39000,0.0,3250,8.94,0.08,2,0.025,0.181,0.009,-0.078,-0.062,0.009,0.013,0.307,DEBTCONSOLIDATION,RENT,N,2670
21,35004,0.0,3000,15.58,0.09,3,-0.01,0.042,0.112,-0.077,0.434,-0.024,-0.008,0.679,EDUCATION,OWN,N,2671
21,29004,3.0,7400,17.56,0.26,3,0.018,0.359,-0.033,-0.006,0.389,-0.017,0.003,0.922,EDUCATION,MORTGAGE,N,2672
24,35004,3.0,9600,7.88,0.27,3,0.014,-0.002,-0.012,0.001,-0.084,-0.079,0.0,0.047,PERSONAL,MORTGAGE,N,2673
24,35004,8.0,8000,14.96,0.23,4,-0.001,0.047,-0.056,-0.005,0.308,-0.087,-0.001,0.415,DEBTCONSOLIDATION,OWN,N,2674
22,28956,2.0,3300,8.49,0.11,3,0.006,0.058,-0.004,-0.028,-0.069,-0.068,0.004,0.107,VENTURE,RENT,N,2675
22,35004,0.0,10000,7.51,0.29,4,0.004,-0.013,0.005,0.007,-0.081,-0.092,-0.002,0.037,MEDICAL,OWN,N,2676
24,33000,2.0,3300,12.99,0.1,4,0.001,0.098,-0.008,-0.068,0.018,-0.055,0.002,0.198,VENTURE,RENT,N,2677
26,33600,4.0,3300,15.65,0.1,4,0.017,0.171,-0.073,-0.07,0.342,-0.069,0.001,0.528,MEDICAL,RENT,N,2678
21,35004,1.0,3600,8.0,0.1,2,0.003,0.022,0.003,-0.038,-0.098,-0.048,-0.004,0.05,VENTURE,MORTGAGE,N,2679
22,66000,0.0,3300,14.65,0.05,2,-0.007,0.054,-0.017,-0.096,0.153,-0.026,0.025,0.296,VENTURE,RENT,Y,2680
21,90000,2.0,3300,11.71,0.04,4,-0.012,-0.13,-0.002,-0.037,-0.028,0.005,0.002,0.007,VENTURE,RENT,N,2681
24,35004,6.0,18225,9.63,0.52,3,0.027,0.092,-0.005,0.195,0.004,0.242,0.004,0.769,MEDICAL,OTHER,N,2682
25,37000,2.0,3325,11.49,0.09,3,0.01,0.022,-0.009,-0.082,-0.015,-0.02,0.003,0.119,VENTURE,RENT,N,2683
22,35004,0.0,8400,10.39,0.24,2,-0.001,0.003,0.006,0.0,-0.057,-0.078,-0.003,0.079,VENTURE,MORTGAGE,N,2684
24,30000,2.0,3350,14.72,0.11,2,-0.0,0.088,-0.002,-0.061,0.022,-0.064,0.003,0.196,DEBTCONSOLIDATION,RENT,Y,2685
25,36000,8.0,3350,7.9,0.09,4,0.013,0.04,0.02,-0.072,-0.057,-0.021,-0.003,0.13,PERSONAL,RENT,N,2686
21,33000,5.0,3375,13.49,0.1,3,0.004,0.104,-0.027,-0.065,-0.019,-0.044,-0.001,0.163,VENTURE,RENT,Y,2687
23,24290,0.0,3400,7.51,0.14,4,0.001,0.035,-0.016,-0.022,-0.085,-0.075,0.001,0.049,MEDICAL,RENT,N,2688
22,28404,7.0,3400,8.94,0.12,3,0.005,0.057,0.011,-0.039,-0.077,-0.056,-0.001,0.11,EDUCATION,RENT,N,2689
26,29000,0.0,3400,15.62,0.12,4,0.021,0.268,0.066,-0.035,0.422,-0.03,-0.004,0.917,HOMEIMPROVEMENT,RENT,Y,2690
23,40000,0.0,3400,6.92,0.09,3,0.001,-0.04,0.005,-0.059,-0.083,-0.023,-0.0,0.011,VENTURE,RENT,N,2691
23,51996,0.0,3400,17.58,0.07,4,-0.005,0.061,0.154,-0.05,0.562,-0.019,0.003,0.916,HOMEIMPROVEMENT,RENT,N,2692
22,29280,0.0,12000,11.66,0.41,3,0.012,0.259,0.046,0.07,0.027,0.323,-0.012,0.934,EDUCATION,MORTGAGE,Y,2693
23,35292,7.0,2100,7.51,0.06,2,-0.004,0.021,-0.003,-0.049,-0.038,-0.026,-0.004,0.106,EDUCATION,MORTGAGE,N,2694
23,80004,2.0,3400,8.49,0.04,3,0.0,-0.113,0.001,-0.039,-0.05,0.007,0.004,0.02,DEBTCONSOLIDATION,RENT,N,2695
25,29360,5.0,8875,12.69,0.3,3,0.014,0.203,-0.014,0.068,0.079,-0.081,0.002,0.48,PERSONAL,MORTGAGE,N,2696
22,35360,6.0,9600,5.99,0.27,4,-0.009,0.004,0.012,0.012,-0.077,-0.079,0.009,0.081,EDUCATION,MORTGAGE,N,2697
24,114750,1.0,3400,12.21,0.03,4,0.051,0.037,0.096,-0.029,0.07,0.1,0.021,0.555,MEDICAL,RENT,N,2698
21,35360,2.0,12250,15.31,0.35,4,-0.05,0.07,0.023,0.004,0.253,0.09,0.005,0.605,EDUCATION,MORTGAGE,N,2699
25,35360,9.0,10000,8.94,0.28,2,0.015,-0.014,0.013,0.011,-0.062,-0.116,0.006,0.063,MEDICAL,MORTGAGE,N,2700
26,14000,8.0,3450,12.69,0.25,3,0.008,0.641,0.003,-0.026,-0.001,0.16,0.001,0.996,HOMEIMPROVEMENT,RENT,N,2701
25,25000,5.0,3450,11.99,0.14,4,0.008,0.051,-0.006,-0.058,-0.014,-0.058,-0.002,0.132,HOMEIMPROVEMENT,RENT,N,2702
22,12000,1.0,3500,15.65,0.29,2,-0.01,0.439,0.045,-0.007,0.255,0.06,0.005,0.997,EDUCATION,RENT,Y,2703
23,35375,7.0,5600,6.76,0.16,3,0.003,0.004,-0.001,-0.048,-0.088,-0.028,0.002,0.054,DEBTCONSOLIDATION,MORTGAGE,N,2704
22,12996,2.0,3500,8.59,0.27,4,-0.011,0.657,-0.005,-0.018,-0.041,0.204,-0.0,0.996,MEDICAL,RENT,N,2705
21,13500,0.0,3500,9.96,0.26,2,-0.01,0.648,-0.002,-0.02,-0.035,0.204,0.004,0.998,VENTURE,RENT,N,2706
21,15600,2.0,3500,16.07,0.22,3,-0.01,0.399,0.042,-0.003,0.273,0.087,0.0,0.998,PERSONAL,RENT,N,2707
21,29400,0.0,12000,11.83,0.41,4,0.022,0.277,0.027,0.065,0.011,0.337,0.003,0.952,MEDICAL,MORTGAGE,N,2708
26,29400,4.0,12000,9.32,0.41,4,0.003,0.195,-0.001,0.072,-0.116,0.337,0.002,0.7,MEDICAL,MORTGAGE,N,2709
22,18000,0.0,3500,13.48,0.19,2,-0.017,0.62,0.008,-0.024,-0.001,0.191,0.007,0.994,VENTURE,RENT,Y,2710
21,18456,2.0,3500,13.35,0.19,2,-0.02,0.612,0.0,-0.023,0.027,0.176,0.015,0.996,MEDICAL,RENT,Y,2711
24,19000,4.0,3500,7.88,0.18,2,-0.003,0.654,-0.006,-0.021,-0.054,0.204,0.007,0.991,MEDICAL,RENT,N,2712
22,20000,5.0,3500,13.11,0.17,3,-0.003,0.012,-0.017,-0.069,0.039,-0.047,-0.001,0.124,EDUCATION,RENT,N,2713
25,20000,0.0,3500,10.28,0.17,2,0.0,-0.021,-0.003,-0.052,-0.057,-0.058,-0.001,0.018,VENTURE,RENT,Y,2714
23,35500,8.0,9000,7.49,0.25,3,-0.001,-0.001,-0.007,0.002,-0.066,-0.076,0.002,0.064,EDUCATION,MORTGAGE,N,2715
22,20400,1.0,3500,6.99,0.17,2,-0.006,-0.01,0.005,-0.042,-0.093,-0.049,-0.001,0.014,VENTURE,RENT,N,2716
22,35500,0.0,4000,12.53,0.11,2,-0.008,0.033,0.003,-0.064,-0.017,-0.036,-0.003,0.117,EDUCATION,MORTGAGE,N,2717
23,35500,0.0,3000,11.28,0.08,3,0.017,0.049,0.007,-0.06,-0.008,0.01,-0.0,0.225,MEDICAL,MORTGAGE,Y,2718
21,21600,2.0,3500,7.51,0.16,2,0.0,0.011,-0.02,-0.02,-0.09,-0.055,-0.002,0.035,DEBTCONSOLIDATION,RENT,N,2719
22,22292,5.0,3500,16.49,0.16,3,0.034,0.139,-0.062,0.024,0.453,0.009,-0.008,0.799,DEBTCONSOLIDATION,RENT,N,2720
22,23000,3.0,3500,10.37,0.15,4,0.008,0.044,-0.019,-0.01,-0.057,-0.074,-0.002,0.099,DEBTCONSOLIDATION,RENT,N,2721
24,35640,1.0,10000,13.49,0.28,3,0.005,0.003,0.023,0.017,0.026,-0.129,0.003,0.157,DEBTCONSOLIDATION,MORTGAGE,Y,2722
24,24000,2.0,3500,15.65,0.15,3,0.005,0.087,0.096,0.016,0.51,-0.028,-0.004,0.891,HOMEIMPROVEMENT,RENT,Y,2723
23,35808,3.0,8700,7.51,0.24,2,0.002,-0.004,-0.012,-0.002,-0.061,-0.073,0.002,0.061,EDUCATION,MORTGAGE,N,2724
26,24000,0.0,3500,10.71,0.15,4,0.009,0.04,0.006,-0.027,-0.063,-0.065,-0.0,0.109,VENTURE,RENT,N,2725
22,24240,3.0,3500,9.99,0.14,3,0.005,0.046,-0.028,-0.037,-0.052,-0.062,0.004,0.086,VENTURE,RENT,N,2726
22,35900,6.0,6000,15.27,0.17,3,-0.003,0.052,-0.038,-0.019,0.243,-0.03,0.0,0.416,PERSONAL,MORTGAGE,N,2727
23,26000,0.0,3500,6.91,0.13,3,-0.005,0.042,-0.007,-0.045,-0.088,-0.072,0.001,0.036,DEBTCONSOLIDATION,RENT,N,2728
22,26400,1.0,3500,15.27,0.13,3,-0.004,0.012,0.051,-0.131,0.209,-0.081,-0.004,0.262,EDUCATION,RENT,N,2729
21,26400,6.0,3500,8.49,0.13,3,0.027,0.066,0.005,-0.043,-0.051,-0.072,0.0,0.143,DEBTCONSOLIDATION,RENT,N,2730
22,36000,0.0,11625,13.49,0.32,2,-0.041,0.056,0.046,0.01,0.042,0.318,-0.027,0.614,EDUCATION,MORTGAGE,N,2731
23,36000,7.0,11300,12.69,0.31,2,-0.022,0.058,-0.045,0.018,0.036,0.256,-0.037,0.473,EDUCATION,MORTGAGE,N,2732
21,30000,5.0,3500,7.9,0.12,2,0.026,0.153,-0.002,-0.066,-0.044,-0.039,0.002,0.239,PERSONAL,RENT,N,2733
24,30000,0.0,3500,5.99,0.12,2,-0.011,0.078,0.006,-0.062,-0.136,-0.053,-0.0,0.031,MEDICAL,RENT,N,2734
22,30000,3.0,3500,14.22,0.12,4,0.011,0.164,-0.035,-0.099,0.099,-0.05,-0.005,0.294,VENTURE,RENT,N,2735
22,30000,3.0,3500,13.92,0.12,4,0.011,0.141,-0.032,-0.09,0.028,-0.052,-0.003,0.211,MEDICAL,RENT,N,2736
22,36000,6.0,18500,7.9,0.51,4,-0.028,0.095,-0.034,0.119,-0.086,0.19,-0.01,0.458,PERSONAL,MORTGAGE,N,2737
25,31200,7.0,3500,6.92,0.11,3,0.009,0.094,0.003,-0.063,-0.1,-0.042,-0.009,0.102,MEDICAL,RENT,N,2738
24,36000,2.0,5200,9.91,0.14,3,0.011,0.029,-0.025,-0.038,-0.06,-0.057,-0.001,0.068,VENTURE,MORTGAGE,N,2739
21,33000,0.0,3500,11.71,0.11,4,0.002,0.116,0.002,-0.071,-0.012,-0.052,-0.005,0.19,MEDICAL,RENT,N,2740
26,33000,1.0,3500,10.25,0.11,2,0.013,0.088,-0.008,-0.059,-0.067,-0.038,0.008,0.146,VENTURE,RENT,N,2741
22,34000,0.0,3500,14.27,0.1,3,0.012,0.25,-0.008,-0.072,0.071,-0.042,0.003,0.423,DEBTCONSOLIDATION,RENT,Y,2742
22,36000,4.0,12000,11.71,0.33,2,-0.009,0.113,0.005,0.037,0.021,0.32,-0.01,0.688,MEDICAL,MORTGAGE,N,2743
25,36000,1.0,5100,8.9,0.14,4,0.009,0.024,-0.003,-0.032,-0.083,-0.066,-0.005,0.054,MEDICAL,MORTGAGE,N,2744
26,34200,1.0,3500,12.84,0.1,4,0.023,0.237,0.031,-0.063,0.038,-0.035,-0.002,0.439,MEDICAL,RENT,N,2745
24,35000,7.0,3500,6.99,0.1,2,0.0,-0.016,-0.003,-0.06,-0.079,-0.03,-0.006,0.015,EDUCATION,RENT,N,2746
21,35000,0.0,3500,9.62,0.1,2,0.006,-0.004,0.004,-0.052,-0.065,-0.045,-0.013,0.041,MEDICAL,RENT,N,2747
24,36000,5.0,5600,7.9,0.16,2,0.006,0.014,-0.006,-0.04,-0.076,-0.035,-0.0,0.073,VENTURE,MORTGAGE,N,2748
25,35000,6.0,3500,11.58,0.1,3,0.003,-0.01,-0.012,-0.079,-0.002,-0.038,-0.005,0.067,PERSONAL,RENT,N,2749
21,35000,3.0,3500,12.53,0.1,4,0.007,0.006,-0.013,-0.066,-0.003,-0.049,-0.007,0.085,DEBTCONSOLIDATION,RENT,Y,2750
21,35100,1.0,3500,5.79,0.1,2,-0.004,0.017,0.003,-0.057,-0.115,-0.033,-0.006,0.014,EDUCATION,RENT,N,2751
23,35500,5.0,3500,10.99,0.1,3,0.008,0.025,-0.014,-0.07,-0.031,-0.041,-0.001,0.086,EDUCATION,RENT,N,2752
25,36000,3.0,3500,6.62,0.1,3,0.011,0.016,-0.015,-0.048,-0.06,-0.05,0.001,0.065,VENTURE,RENT,N,2753
21,36000,5.0,1000,12.42,0.03,2,0.022,0.037,-0.012,-0.131,-0.007,0.019,-0.017,0.12,MEDICAL,MORTGAGE,N,2754
21,38000,5.0,3500,10.59,0.09,3,0.007,0.001,-0.015,-0.091,-0.04,-0.014,-0.003,0.056,VENTURE,RENT,N,2755
26,36000,6.0,5175,6.03,0.14,4,0.007,0.027,-0.005,-0.047,-0.117,-0.052,-0.004,0.019,PERSONAL,MORTGAGE,N,2756
22,38400,4.0,3500,13.99,0.09,3,-0.006,-0.052,-0.024,-0.094,0.061,-0.023,-0.004,0.066,EDUCATION,RENT,N,2757
22,39000,6.0,3500,9.91,0.09,4,0.023,0.182,0.013,-0.123,-0.048,-0.001,0.017,0.273,MEDICAL,RENT,N,2758
22,39336,6.0,3500,5.42,0.09,2,0.009,0.098,0.005,-0.103,-0.193,-0.002,-0.006,0.018,VENTURE,RENT,N,2759
24,40000,3.0,3500,7.9,0.09,4,0.004,-0.051,-0.01,-0.053,-0.058,-0.031,-0.002,0.009,EDUCATION,RENT,N,2760
23,40000,2.0,3500,11.99,0.09,4,0.005,-0.059,-0.002,-0.08,-0.024,-0.017,-0.002,0.029,VENTURE,RENT,N,2761
23,40000,4.0,3500,13.23,0.09,2,-0.001,-0.06,-0.012,-0.083,-0.007,-0.022,-0.005,0.02,PERSONAL,RENT,Y,2762
24,36000,8.0,3600,16.77,0.1,2,0.014,0.061,-0.039,-0.075,0.362,-0.029,0.005,0.509,PERSONAL,MORTGAGE,Y,2763
21,41000,4.0,3500,10.75,0.09,3,0.009,0.014,-0.02,-0.094,-0.026,-0.011,0.003,0.085,EDUCATION,RENT,N,2764
24,36000,5.0,8000,10.65,0.22,2,0.004,0.013,-0.013,-0.018,-0.036,-0.08,-0.0,0.08,PERSONAL,OWN,N,2765
25,42000,0.0,3500,5.42,0.08,4,0.008,0.001,0.005,-0.065,-0.134,-0.015,0.002,0.012,VENTURE,RENT,N,2766
23,30000,4.0,4800,10.65,0.16,3,-0.001,0.072,-0.008,-0.048,-0.048,-0.045,0.001,0.135,DEBTCONSOLIDATION,MORTGAGE,N,2767
26,42000,3.0,3500,10.74,0.08,4,0.005,-0.001,-0.018,-0.076,-0.056,-0.01,-0.002,0.052,PERSONAL,RENT,N,2768
